"user_first_name_id","first_name","first_name_kana","first_name_roman"
1,"明菜","あきな","akina"
2,"千鶴","ちづる","tizuru"
3,"芳乃","よしの","yosino"
4,"梓","あずさ","azusa"
5,"邦夫","くにお","kunio"
6,"三郎","さぶろう","saburô"
7,"奈津美","なつみ","natumi"
8,"千佳","ちか","tika"
9,"絵麻","えま","ema"
10,"登美代","とみよ","tomiyo"
11,"右京","うきょう","ukyô"
12,"茂子","しげこ","sigeko"
13,"空馬","くうま","kûma"
14,"雅人","まさと","masato"
15,"一成","いっせい","issei"
16,"幸宏","ゆきひろ","yukihiro"
17,"家光","いえみつ","iemitu"
18,"沙耶","さや","saya"
19,"道代","みちよ","mitiyo"
20,"未央子","みおこ","mioko"
21,"喜代","きよ","kiyo"
22,"司","つかさ","tukasa"
23,"太郎","たろう","tarô"
24,"沙恵","さえ","sae"
25,"雄也","ゆうや","yûya"
26,"萌子","もえこ","moeko"
27,"季美子","きみこ","kimiko"
28,"忠治","ちゅうじ","tyûzi"
29,"力也","りきや","rikiya"
30,"忠治","ちゅうじ","tyûzi"
31,"恭平","きょうへい","kyôhei"
32,"邦夫","くにお","kunio"
33,"知子","ともこ","tomoko"
34,"洋介","ようすけ","yôsuke"
35,"輝子","てるこ","teruko"
36,"朔太郎","さくたろう","sakutarô"
37,"奈美子","なみこ","namiko"
38,"翔子","しょうこ","syôko"
39,"希子","きこ","kiko"
40,"次郎","じろう","zirô"
41,"衣子","よりこ","yoriko"
42,"希子","きこ","kiko"
43,"亜由","あゆ","ayu"
44,"熊五郎","くまごろう","kumagorô"
45,"梢","こずえ","kozue"
46,"清次","きよつぐ","kiyotugu"
47,"小雪","こゆき","koyuki"
48,"勇作","ゆうさく","yûsaku"
49,"昌子","まさこ","masako"
50,"一郎","いちろう","itirô"
51,"沙綾","さあや","saaya"
52,"真理亜","まりあ","maria"
53,"恵子","けいこ","keiko"
54,"加奈子","かなこ","kanako"
55,"康文","やすふみ","yasuhumi"
56,"千鶴","ちづる","tizuru"
57,"照江","てるえ","terue"
58,"明人","あきと","akito"
59,"真理","まり","mari"
60,"靖代","やすよ","yasuyo"
61,"聡子","さとこ","satoko"
62,"政弘","まさひろ","masahiro"
63,"右京","うきょう","ukyô"
64,"香代子","かよこ","kayoko"
65,"彩奈","あやな","ayana"
66,"幸一","こういち","kôiti"
67,"博代","ひろよ","hiroyo"
68,"知美","ともみ","tomomi"
69,"芳乃","よしの","yosino"
70,"雅人","まさと","masato"
71,"佳乃子","かのこ","kanoko"
72,"久一","ひさいち","hisaiti"
73,"実子","みこ","miko"
74,"明利","あきとし","akitosi"
75,"恵美里","えみり","emiri"
76,"一香","いちか","itika"
77,"十和子","とわこ","towako"
78,"奈那子","ななこ","nanako"
79,"次郎","じろう","zirô"
80,"安奈","あんな","anna"
81,"理佐子","りさこ","risako"
82,"健太","けんた","kenta"
83,"安佳里","あかり","akari"
84,"晴彦","はるひこ","haruhiko"
85,"良博","よしひろ","yosihiro"
86,"銀治","ぎんじ","ginzi"
87,"慶太","けいた","keita"
88,"朝子","あさこ","asako"
89,"明日香","あすか","asuka"
90,"房江","ふさえ","husae"
91,"早苗","さなえ","sanae"
92,"明子","あきこ","akiko"
93,"萌","もえ","moe"
94,"清次","きよつぐ","kiyotugu"
95,"愛子","あいこ","aiko"
96,"健介","けんすけ","kensuke"
97,"隆平","りゅうへい","ryûhei"
98,"瑠璃","るり","ruri"
99,"恵美里","えみり","emiri"
100,"時枝","ときえ","tokie"
101,"一成","いっせい","issei"
102,"絵里香","えりか","erika"
103,"正一","しょういち","syôiti"
104,"大伍","だいご","daigo"
105,"宇吉","うきち","ukiti"
106,"義男","よしお","yosio"
107,"治子","はるこ","haruko"
108,"沙織","さおり","saori"
109,"美波","みなみ","minami"
110,"俊二","しゅんじ","syunzi"
111,"空馬","くうま","kûma"
112,"千尋","ちひろ","tihiro"
113,"久世","ひさよ","hisayo"
114,"知子","ともこ","tomoko"
115,"和夫","かずお","kazuo"
116,"邦弘","くにひろ","kunihiro"
117,"伊織","いおり","iori"
118,"咲子","さきこ","sakiko"
119,"美恵子","みえこ","mieko"
120,"麻子","まこ","mako"
121,"詩子","うたこ","utako"
122,"絹子","きぬこ","kinuko"
123,"寛二","かんじ","kanzi"
124,"静江","しずえ","sizue"
125,"武雄","たけお","takeo"
126,"敦英","あつひで","atuhide"
127,"恵美子","えみこ","emiko"
128,"幸子","さちこ","satiko"
129,"千鶴子","ちずこ","tizuko"
130,"小雪","こゆき","koyuki"
131,"英太","えいた","eita"
132,"時枝","ときえ","tokie"
133,"久世","ひさよ","hisayo"
134,"修作","しゅうさく","syûsaku"
135,"麻耶","まや","maya"
136,"峰子","みねこ","mineko"
137,"一平","いっぺい","ippei"
138,"十和子","とわこ","towako"
139,"達雄","たつお","tatuo"
140,"徹子","てつこ","tetuko"
141,"正則","まさのり","masanori"
142,"至","いたる","itaru"
143,"隆一郎","りゅういちろう","ryûitirô"
144,"和美","かずみ","kazumi"
145,"政江","まさえ","masae"
146,"幸一","こういち","kôiti"
147,"貴代","たかよ","takayo"
148,"安奈","あんな","anna"
149,"司","つかさ","tukasa"
150,"輝子","てるこ","teruko"
151,"倫子","みちこ","mitiko"
152,"一徹","いってつ","ittetu"
153,"貴代","たかよ","takayo"
154,"英二","えいじ","eizi"
155,"基之","もとゆき","motoyuki"
156,"久一","ひさいち","hisaiti"
157,"朱美","あけみ","akemi"
158,"奈美子","なみこ","namiko"
159,"洋一","よういち","yôiti"
160,"恒夫","つねお","tuneo"
161,"理恵","りえ","rie"
162,"育子","いくこ","ikuko"
163,"仁美","ひとみ","hitomi"
164,"優子","ゆうこ","yûko"
165,"由香利","ゆかり","yukari"
166,"珠子","たまこ","tamako"
167,"裕美子","ゆみこ","yumiko"
168,"勇樹","ゆうき","yûki"
169,"幸江","さちえ","satie"
170,"俊介","しゅんすけ","syunsuke"
171,"宇吉","うきち","ukiti"
172,"優子","ゆうこ","yûko"
173,"満子","みつこ","mituko"
174,"信人","のぶひと","nobuhito"
175,"喜代","きよ","kiyo"
176,"詩子","うたこ","utako"
177,"奈々","なな","nana"
178,"太郎","たろう","tarô"
179,"多美子","たみこ","tamiko"
180,"明恵","あきえ","akie"
181,"洋一","よういち","yôiti"
182,"安寿","あんじゅ","anzyu"
183,"大伍","だいご","daigo"
184,"右京","うきょう","ukyô"
185,"樹理","じゅり","zyuri"
186,"梅吉","うめきち","umekiti"
187,"慶太","けいた","keita"
188,"奈々","なな","nana"
189,"恭平","きょうへい","kyôhei"
190,"梅吉","うめきち","umekiti"
191,"千帆","ちほ","tiho"
192,"月子","つきこ","tukiko"
193,"雅人","まさと","masato"
194,"紀代子","きよこ","kiyoko"
195,"千帆","ちほ","tiho"
196,"慶太","けいた","keita"
197,"一俊","かずとし","kazutosi"
198,"瑠璃","るり","ruri"
199,"千鶴子","ちずこ","tizuko"
200,"小雪","こゆき","koyuki"
201,"五郎","ごろう","gorô"
202,"康平","こうへい","kôhei"
203,"明男","あきお","akio"
204,"順平","じゅんぺい","zyunpei"
205,"志保","しほ","siho"
206,"円","まどか","madoka"
207,"友里","ゆり","yuri"
208,"秀成","ひでなり","hidenari"
209,"直哉","なおや","naoya"
210,"旭","あさひ","asahi"
211,"喜久子","きくこ","kikuko"
212,"京華","きょうか","kyôka"
213,"紀子","のりこ","noriko"
214,"和章","かずあき","kazuaki"
215,"忠信","ただのぶ","tadanobu"
216,"惠美","えみ","emi"
217,"常世","つねよ","tuneyo"
218,"翠","みどり","midori"
219,"紀夫","のりお","norio"
220,"真紀","まき","maki"
221,"重代","しげよ","sigeyo"
222,"啓介","けいすけ","keisuke"
223,"明穂","あきほ","akiho"
224,"静香","しずか","sizuka"
225,"大作","だいさく","daisaku"
226,"初枝","はつえ","hatue"
227,"沙耶香","さやか","sayaka"
228,"博文","ひろふみ","hirohumi"
229,"雪","ゆき","yuki"
230,"直樹","なおき","naoki"
231,"和子","かずこ","kazuko"
232,"伊代","いよ","iyo"
233,"理","さとし","satosi"
234,"志乃","しの","sino"
235,"孝子","たかこ","takako"
236,"希","のぞみ","nozomi"
237,"克哉","かつや","katuya"
238,"清","きよし","kiyosi"
239,"真衣","まい","mai"
240,"栄一","えいいち","eiiti"
241,"綾人","あやと","ayato"
242,"清彦","きよひこ","kiyohiko"
243,"真一","しんいち","sin'iti"
244,"奈津子","なつこ","natuko"
245,"奈津子","なつこ","natuko"
246,"麻美","あさみ","asami"
247,"小百美","さゆみ","sayumi"
248,"直哉","なおや","naoya"
249,"初枝","はつえ","hatue"
250,"節子","せつこ","setuko"
251,"康平","こうへい","kôhei"
252,"清","きよし","kiyosi"
253,"真由","まゆ","mayu"
254,"和代","かずよ","kazuyo"
255,"民江","たみえ","tamie"
256,"姫子","ひめこ","himeko"
257,"道枝","みちえ","mitie"
258,"愛里","あいり","airi"
259,"博文","ひろふみ","hirohumi"
260,"福子","ふくこ","hukuko"
261,"民江","たみえ","tamie"
262,"慎吾","しんご","singo"
263,"賢一","けんいち","ken'iti"
264,"亜有子","あゆこ","ayuko"
265,"文弥","ふみや","humiya"
266,"与一","よいち","yoiti"
267,"雄太","ゆうた","yûta"
268,"正和","まさかず","masakazu"
269,"喜和子","きわこ","kiwako"
270,"愛菜","あいな","aina"
271,"恵理","えり","eri"
272,"浩紀","ひろき","hiroki"
273,"奈保","なほ","naho"
274,"麻巳子","まみこ","mamiko"
275,"好","このみ","konomi"
276,"和久","かずひと","kazuhito"
277,"百恵","ももえ","momoe"
278,"敏子","としこ","tosiko"
279,"弥生","やよい","yayoi"
280,"里利子","りりこ","ririko"
281,"敦子","あつこ","atuko"
282,"清美","きよみ","kiyomi"
283,"明穂","あきほ","akiho"
284,"春菜","はるな","haruna"
285,"亜里沙","ありさ","arisa"
286,"小夜子","さよこ","sayoko"
